sentence,translation
The squirrels relax as the warm sunlight approaches.,यदा आतपः भवति तदा चिक्रोडः शयनं करोति।
It is a field of aromatic flowers.,एतत् सुगन्धिपुष्पाणां क्षेत्रम् अस्ति।
The fish playfully travel the tides of the ocean.,मत्स्यः समुद्रस्य उत्प्लवे सक्रीडं भ्रमन्ति।
The deer grazes as the sun dawns.,यदा सूर्यः अस्तङ्गच्छति तदा मृगः चरति।
The dry autumn leaves crunch as I walk through.,शुष्के शरदृतौ यदा अहं चलामि तदा शुष्कपर्णानि शब्दापयन्ति।
The wolf relaxes as the day dusks.,सायङ्काले वृकः विश्रामं करोति।
The herd of elk sleeps as the day ends in the tranquil countryside.,शान्तग्रामेषु यदा दिवसः समाप्तः भवति तदा एल्कपशूनां गणः निद्राति।
He is as calm as the fields of the countryside.,ग्रामीणक्षेत्रवत् सः शान्तः अस्ति।
The bees buzz in the scorching summer heat.,ग्रीष्मस्य निदाघदिवसे मधुमक्षिकाः गुञ्जनं कुर्वन्ति।
The juicy berries grow in the bushes.,रसवत्यः बदरिकाः गुल्मेषु वर्धन्ते।
The bird flaps her wings as the sudden breeze touches her.,यदा वायुः खगं सहसा स्पृषति तदा खगः पक्षौ फडफडायते।
The birds take shed in the trees as the hot sunlight approaches them.,यदा उष्णः सूर्यप्रकाशः आपतति तदा खगाः वृक्षेषु आश्रयन्ते।
The bird moves rhythmically as the drops of rain pats her.,यदा वर्षाबिन्दुः चटकां अधिस्पृशति तदा सा तालबद्धरीत्या गच्छति।
The school of fish swims around as the tides rise.,यदा उत्प्लवः भवति तदा मत्स्यानां समूहः परितः तरति।
The ducks dance in the sweet spring.,मधुरवसन्ते कादम्बाः नृत्यन्ति।
The rainbow reveals itself as the rain stops.,यदा वर्षा स्तब्धा भवति तदा इन्द्रधनुः दृश्यते।
The owl stares at the moon in the lonely night sky.,"
निर्जनरात्रौ उलूकः चन्द्रं निरीक्षते।"
The rocks act as a pillow to the lazy grizzly bears.,पाषाणाः अलसाय भल्लूकाय उपाधानवत् भवन्ति।
The wind takes away the seeds from the trees.,वायुः बीजानि वृक्षेभ्यः दूरं नयति।
The rabbit eats the food peacefully.,शशकः शान्ततया अन्नं खादति।
Snow chills the animals as winter approaches.,यदा शैत्यम् आगच्छति तदा हिमः पशून् शीतलं करोति।
Reptiles crawl in the wet forest floor.,सरीसृपाः आर्द्रवनस्य तले सर्पन्ति।
The bird weaves its nest as the spring approaches.,यदा वसन्तः आगच्छति तदा खगः तस्य नीडं निर्माति।
The wolves howl in the moonlight.,चन्द्रप्रकाशे वृकाः आरवं कुर्वन्ति।
The eagle rises above the clouds as it rains.,यदा वर्षा भवति तदा गरुडः मेघानाम् उपरि उत्पतति।
Are you able to come aboard at this moment?,किं भवान् सद्यः समये विदेशम् आगन्तुं शक्नोति?
We made plans about how to best see the stars.,सर्वोत्तमतया तारिकाः कथं निरीक्षणीयाः इत्यत्र वयं योजनां कृतवन्तः।
He didn't know I was watching from above.,अहम् उपरिष्टात् पश्यामि स्म इति सः न ज्ञातवान्।
How can you get across this river so quickly?,भवान् एतावत् शीघ्रं कथम् एतस्याः नद्याः पारम् प्राप्तवान्?
I couldn't see after the dirt got in my eyes.,यदा मम नेत्रयोः अवकरः गतः तदनन्तरम् अहं द्रष्टुं न शक्तवान्।
She pushed against the tree with all her strength.,सा वृक्षं तस्याः पूर्णशक्त्या उत्सारितवती।
Would you have brought me along otherwise?,अन्यथा किं भवान् मां भवता सह अनेष्यत्?
Will you be among those in the forest?,किं भवान् वननिवासिषु भविष्यति?
I don't want to be around when she arrives.,यदा सा आगच्छेत् तदा अहं परितः भवितुं न इच्छामि।
He doesn't move as quickly as she does.,सा यथा चलति तथा झटिति सः न चलति।
We could have traveled at a slower pace.,अस्माभिः शनैः यात्रा कर्तुं शक्या आसीत्।
What you see before you is a huge animal.,भवान् यत् अग्रे पश्यति सः एकः महान् पशुः अस्ति।
Why won't you get behind her?,भवान् तस्याः पार्श्वे किमर्थं न गमिष्यति?
She wanted me to go down below.,सा मम अधः गमनम् ऐच्छत्।
"Beneath the tree, an animal just woke up.",वृक्षस्य अधः एकः पशुः प्रबुद्धः।
She had been beside him for the entire journey.,सा पम्पूर्णयात्रायां तेन सह एव आसीत्।
I'll decide between staying here and going home.,अत्र स्थातव्यम् उत गृहं गन्तव्यम् इत्यनयोः चयनम् अहं करिष्यामि।
He refuses to help anyone beyond his own family.,सः परिवारं विहाय कस्यापि सहायतां न करोति।
"I would swim, but it is too early in the day.",अहम् अतरिष्यम् परन्तु अद्य बहुशीघ्रता जाता।
You might be able to find her by the river.,भवान् तां नदीं परितः प्राप्तुं शक्नोति।
"Despite the weather, I will get there on time.",एतादृशे वातावरणे सति अपि अहं तत्र गमिष्यामि।
"If you keep jumping up and down, she will leave.","भदि भवान् अधः उपरि कूर्दनं करिष्यति, तर्हि सा इतः गमिष्यति।"
It's difficult to swim at such a wild storm.,एतादृशे चण्डवाते जलतरणं कठिनम्।
Don't say anything except that you love him.,भवान् तस्यां स्निह्यति एतत् विहाय किमपि न वदतु।
She would have made food for you if you'd asked.,यदि भवान् अप्रक्ष्यत् तर्हि सा पाकम् अकरिष्यत्।
They walked from the forest to the river.,ते वनतः नदीपर्यन्तं चलितवन्तः।
He's worried that we've been in the forest for too long.,वयं बहुकालपर्यन्तं वने स्मः इति सः चिन्तां कृतवान्।
Can you believe that a rock is inside this fruit?,एकः पाषाणः फलस्य अन्तः अस्ति इत्यत्र किं भवान् विश्वासं कर्तुं शक्नोति?
"If she turns him into an animal, I will save him.",यदि सा तस्य पशुमध्ये परिवर्तनं करोति तर्हि अहं तां रक्षामि।
It was like the entire forest had suddenly stopped.,एतत् तु सर्वं वनम् स्थब्धम् इव जातम्।
She had been near death several times,सा बहुवारं मृत्युसमीपम् आसीत्।
He doesn't want us to be next to him again.,सः अस्मान् तस्य परे पुनः न इच्छति।
Several friends have forgotten how to swim.,कानिचन मित्राणि जलतरणं व्यस्मरन्।
I strayed off the path despite his orders.,तस्य आदेशे सति अपि मया मार्गः च्युतः।
He found us on his way home from the river.,नदीतः गृहगमनमार्गे सः अस्मान् प्राप्तवान्।
I don't know how we got onto this topic.,अहं न जानामि यत् वयं अस्मिन् विषये कथं प्राप्तवन्तः।
You should get out of the river before sunset.,सूर्यास्तात् प्राक् भवान् नदीतः बहिः गच्छेत्।
The animals would have flown over the forest.,कदाचित् पशवः वनस्य उपरितः उड्डीय गतवन्तः भवेयुः।
"If you can't swim, you shouldn't go past this river.","यदि भवान् तरणं कर्तुं न जानाति, तर्हि भवान् नदीपारं नगच्छेत्।"
"As per the king's orders, you must leave this village.",राजाज्ञाम् अनुपालयन् भवान् एनं ग्रामं त्यजेत्।
"Plus, we can't stay here if you are also here.","तथैव, यदि भवान् अत्र तिष्ठति तर्हि वयम् अपि अत्र स्थातुं न शक्नुमः।"
I will talk more regarding this matter.,अहम् एदद्विषये अधिकं वक्ष्यामि।
Have you seen a large rock 'round here?,किं भवान् परितः बृहत्पाषाणं दृष्टवान्?
She would climb it save for the fact that she is too short.,सा अतीव लघ्वी अस्ति अन्यथा सा तत् आरोहेत्।
He has gotten weaker since I last saw him.,यदा अहं पुरा तं दृष्टवान् ततः सः अशक्तः जातः।
I would rather eat fruit than meat.,मांसस्य अपेक्षया अहं फलं खादिष्यामि।
Maybe this time they will get through to her.,कदाचित् अधुना ते तस्याः द्वारा गमिष्यति।
I will keep jumping till they tell me to stop.,यावत्पर्यन्तं ते मां स्थातुं न वक्ष्यन्ति तावत्पर्यन्तम् अहं कूर्दनं करिष्यामि।
Do we want them to give this to us?,किं वयम् इच्छामः यत् ते एतत् अस्मान् यच्छेयुः?
They can either move toward the sea or go home.,समुद्रं प्रति अथवा गृहं प्रति ते गन्तुं शक्नुवन्ति।
The queen will find a rock under some leaves.,राज्ञी पाषाणं केषांचित् पर्णानाम् अधः प्रप्स्यति।
He wished he could rest underneath the tree.,सः वृक्षस्य अधः विश्रामं कर्तुम् ऐच्छत्।
It is unlike anything I have ever seen.,एतावत् पर्यन्तम् अहं यत् यत् दृष्टवान् तत् सर्वम् अस्य विरुद्धम् एव अस्ति।
She likes to swim until the sunset.,सूर्यास्तपर्यन्तं जलतरणं तस्यै रोचते।
What goes up must come down.,यत् उपरि गच्छति तत् अवश्यमेव अधः आगच्छेत्।
She used to love gazing upon the water.,तस्यै जलस्य निरीक्षणं रोचते स्म।
We argued about the forest versus the river.,वनविरुद्धं नदी इत्येतत् विषये वयं तर्कं कृतवन्तः।
"Tomorrow morning, I will have traveled via boat.","श्वः प्रातः, मया नौकया प्रवासः कृतः स्यात्।"
"If I were with him, I would annoy him.","यदि अहं तेन सह अभविष्यम्, तर्हि अहं तम् अपीडयम्।"
There was a wild animal deep within the cave.,गुहायाः अतीव अन्तः एकः वन्यः पशुः आसीत्।
I shouldn't have left without eating first.,प्रथमं मया न खादित्वा न गन्तव्यम् आसीत्।
"If you had taken another step, I would have laughed.","यदि भवान् एकं पदम् अस्थापयिष्यत्, तर्हि अहम् अहसिष्यत्।"
Any of the animals could have done this.,कश्चन पशुः एव एतत् कर्तुं शक्नोति।
She used to love anyone who gave her food.,यः तस्यै अन्नं दद्यात् तस्मिन् सा स्निह्यति स्म।
Does he think I had anything to do with that?,किं सः एवं चिन्तयति यत् मया अनेन सह किमपि करणीयम् अस्ति इति?
"If you could go anywhere, where would you go?",यदि भवान् कुत्रापि गन्तुं शक्नोति तर्हि भवान् कुत्र गच्छेत्?
Both of us should dance instead of one.,एकस्य स्थाने आवाभ्यां द्वाभ्याम् अपि नृत्यं करणीयम्।
Please be certain before you run there.,कृपया तत्र धावनात् पूर्वं निश्चितं करोतु।
Each child should give and receive one gift.,प्रत्येकं छात्रः उपायनं यच्छेत् स्वीकुर्यात् च।
I thought she was either one or two years old.,अहं चिन्तितवान् यत् सा कदाचित् एकं वा द्विवर्षीया वा भवेत्।
This is more than enough for her birthday.,एतत् तस्याः जन्मदिवसाय अलम्।
She waited for us every day that we were gone.,सा प्रतिदिनं प्रतीक्षते स्म यत् वयं कदा गमिष्यामः इति।
He will say everyone has water if you ask.,"यदि भवान् पृच्छति, तर्हि सर्वं निकषा जलम् अस्ति इति सः वक्ष्यति।"
Everything in the forest is green today.,अद्य वने सर्वं हरितम् अस्ति।
Has she been everywhere in the world?,किं सा विश्वे सर्वत्र आसीत्?
There are few people I do not know here.,अहं यान् न जानामि तादृशाः बहुन्यूनाः जनाः अत्र सन्ति।
This is the last time I will ever climb this tree.,इदानीम् अन्तिमवारम् अहम् एनं वृक्षम् आरोहिष्यामि।
She will expect at least five gifts tomorrow.,सा श्वः न्यूनान्न्यूनं पञ्च-उपायनानाम् अपेक्षां करिष्यति।
Why do I have less water than she does?,मम समीपे तस्याः अपेक्षया न्यूनं जलं कथम् अस्ति?
There is little that he cannot do.,सः कर्तुं न शक्नुयात् इति बहुन्यूनम् अस्ति।
I have many doubts about your new plan.,मयि भवतः योजनाविषये अनेकाः शङ्काः सन्ति।
She climbs trees more than he does.,तस्य अपेक्षया सा अधिकवारं वृक्षारोहणं करोति।
That is the most pleased I've ever seen you.,अहं भवन्तं दृष्टवान् इति बहुप्रसन्नताकारकम् अस्ति।
Much of my life has been full of happiness.,मम अधिकांशं जीवनं प्रसन्नतया पूरितं वर्तते।
Neither person had seen the mountains before.,पुरा कोऽपि एतान् पर्वतान् न दृष्टवान्।
We cannot find the tree that is next to the river.,वयं तादृशं वृक्षं न प्राप्तवन्तः यः नदीं निकषा स्यात्।
There are no leaves on the trees this year.,अस्मिन् वर्षे वृक्षेषु पर्णानि न सन्ति।
None of my friends are at home right now.,इदानीं मम मित्रेषु कोऽपि गृहे नास्ति।
Nothing is wrong with eating fruit.,फलभक्षणे किमपि अयोग्यं नास्ति।
The forest is nowhere near the sea!,समुद्रं निकषा कुत्रापि वनं नास्ति।
We had only seen the forest once before.,अस्माभिः इतः पूर्वं केवलम् एकवारम् एव वनं दृष्टम्।
Hopefully several people show up today.,आशासे यत् केचन जनाः अद्य आगमिष्यन्ति।
It takes some courage to climb such a tall tree.,एतादृशस्य महावृक्षस्य आरोहनाय धैर्यम् आवश्यकम्।
"If somebody wants food, we will go to the forest.",यदि कश्चन भोजनम् इच्छति तर्हि वयं वनं गच्छामः।
Is there something he wanted to say to them?,किं सः तान् किमपि वक्तुम् इच्छति?
They will find a home somewhere around here.,ते परितः कुत्रचित् एव गृहं प्राप्स्यन्ति।
That is exactly what I am talking about!,अहम् एतत् एव वदामि!
"Whatever your favorite color is, mine is as well.",यः भवतः प्रियः वर्णः अस्ति सः एव मम अपि।
She wouldn't remember which tree we visited.,अस्माभिः कः वृक्षः मिलितः इति सा न जानाति।
I will eat bread or fruit: whichever you prefer.,यत् भवान् इच्छति तत् रोटिका वा फलं वा अहं खादिष्यामि।
A river flows through the valley.,नदी उपत्यकातः प्रवहति।
The setting sun reflecting off the water lights up the area with golden light.,अस्तमानः सूर्यः तत् क्षेत्रं स्वर्णप्रकाशेण प्रतिबिम्बितं करोति स्म।
I sat on the rock and watched the sunset through the window.,अहं पाषाणे उपविश्य वातायनतः सूर्यास्तं दृष्टवान्।
He spent last time on a mountain.,तेन अन्तिमसमयः पर्वते यापितः।
The moon was appearing behind the clouds at the dark of midnight.,मध्यरात्रौ चन्द्रः मेघानां पृष्ठतः दृश्यते स्म।
A fresh layer of snow covered the path.,हिमस्य प्रत्यग्रः स्तरः मार्गम् आच्छादितवान्।
The moon dangles low and large in the dark sky.,अन्धःकारमये आकाशे चन्द्रः न्यूनाधिकं भवति।
"The sun rose bright and fair, and the morning was without a cloud.","स्वच्छः प्रकाशमानः सूर्यः उदितः, तथा प्रातःकालः निरभ्रम् आसीत्।"
"At sunset, the sky shaded from pink into dark red.",सूर्यास्तसमये आकाशः पाटलवर्णतः घनेन रक्तवर्णेन छायाङ्कितः आसीत्।
Birds are singing in the tree.,खगाः वृक्षेषु गायन्ति।
The bird landed gracefully on the water.,खगः साभिमानं वृक्षे अवातरत्।
The grass was covered with frost in the early morning.,प्रातःकाले तृणं हिमेन आच्छादितम् आसीत्।
"The gentle rain was over, but drops were still falling from the trees.","मन्दवर्षा समाप्ता, तथापि जलबिन्दवः वृक्षेभ्यः पतन्ति स्म।"
The rainbow formed a beautiful arc in the sky.,आकाशे इन्द्रधनुष्यः सुन्दरं चापं निर्मितवान्।
That wide-eyed innocent look reminded him of a newborn baby.,तेन आयतलोचनस्य निरागसस्य दर्शनेन तस्य नवजातशिशोः स्मरणं जातम्।
The leaves were floating gently down the river.,पर्णानि शनैः शनैः अधः नद्यां तरन्ति स्म।
She brought a handful of fruit from the forest.,सा वनात् पर्याप्तानि फलानि आनीतवती।
The air around him was cold like it was being iced.,तं परितः वायुः हिमवत् अतीव शीतलः आसीत्।
The bee came to dance on the flower.,मधुमक्षिका पुष्पे नृत्यं कर्तुम् आगतवती।
Allow in a cool night breeze.,शीतलरात्रौ समीरः चलतु।
I have many far-off friends whom I never seen.,मम अनेकानि दूरस्थमित्राणि सन्ति यानि अहं कदापि न दृष्टवान्।
I was glad to go back to the village to see my home and friends once more.,"अहं मम गृहदर्शनात्, मित्रमेलनात् च ग्रामगमने प्रसन्नः आसम्।"
"He has two younger siblings, a brother and a sister.","तस्य अनुजसहोदरद्वयम् आसीत्, एकः अनुजः एका च अनुजा।"
Mom placed a pot of brightly colored flowers on the table.,मता उज्ज्वलवर्णानि पुष्पाणि उत्पीठिकायां स्थापितवती।
She returned to the meadow and sat down on the grass.,"सा तृणक्षेत्रे प्रत्यागतवती, तृणे च उपविष्टवती।"
"There was a small interesting rock beside the tree, on which there was a frog.",तत्र एकः आकर्षकः लघुपाषाणः वृक्षस्य पार्श्वे आसीत् यस्य उपरि मण्डूकः आसीत्।
He used to go out with his friends every night.,सः प्रतिरात्रि तस्य मित्रैः सह बहिः गच्छति स्म।
"Across the way, warm sun light showed through the dense forest.",मार्गे निबिडे वने उष्णः सूर्यप्रकाशः दृष्टः।
The way a butterfly flutters from flower to flower is graceful.,चित्रपतङ्गस्य पुष्पात् पुष्पं प्रति उड्डानम् अतीव मनोहरम्।
The flowers this year which bloomed in the early spring have stayed abundant.,अस्मिन् वर्षे वसन्ते विकसितानि पुष्पाणि प्रभूतानि पुष्पाणि जातानि।
He waded out of the water and laid his socks and shirt on a rock in the sun to dry.,सः जलात् बहिः आगत्य तस्य पदकोषौ युतकं च शुष्कीकर्तुं सूर्यस्य आतपे पाषाणे स्थापितवान्।
Our last halt was under a wild berry push a short distance from the lake.,अस्माकम् अन्तिमा वसतिः सरोवरात् अनतिदूरे वन्य-बेरी-पुश इत्यस्य अधः आसीत्।
"She looked up at the glowing clouds, from which snow had begun to fall again.","सा प्रकाशितान् मेघान् दृष्टवती, येभ्यः हिमपातः आरब्धः।"
Fruits of great variety are grown in the valley and foothills.,अत्र उपत्यकायां लघुशैलेषु च गुणवत्तापूर्णानि फलानि उत्पद्यन्ते।
The country has a beautiful sandy beach.,अस्मिन् देशे सुन्दराः वालुकामयाः तटाः सन्ति।
She tossed her head back to stare at the stars.,तारिकानां निरीक्षणं कर्तुं सा तस्याः मस्तकं पृष्ठे कृतवती।
He was living on the hilltop with a flock of two hundred elk.,द्विसहस्राणां एल्कानां समूहेन सह सः शैलस्य उपरि निवसति स्म।
The little boy was halfway to the lake when mom spoke to him.,यदा माता तेन सह वार्तां कृतवती तदा सः लघुबालकः सरोवरात् मध्यमार्गे आसीत्।
A single gentle rain makes the grass many shades greener.,एका एव मन्दवर्षा तृणे हरितिमां करोति।
"There was nothing dangerous about the forest, except snakes and insects.",कीटान् सर्पान् च विहाय वने किमपि भयकारकं नास्ति।
"Below the falls, a large beautiful rainbow gave color to the rising mist.",प्रापतस्य अधः एकं विशालं इन्द्रधनुः वर्धमानां धूम्रिकां वर्णयुक्तां करोति।
Everything is ready for the forest walk.,वनभ्रमणाय सर्वं सिद्धम्।
He smelled the fragrance of wildflowers while walking on a path that led to the pond.,तडागमार्गेण गच्छन् सः वन्यपुष्पाणां सुगन्धं जिघ्रति।
The desert was basking in an orange sunset when they finally stopped.,अन्ततः ते यदा स्थिताः तदा मरुभूमिः सूर्यास्तस्य प्रकाशेन केसरवर्णीया जाता।
The birds flew to their nests in the evening.,सायङ्काले खगाः तेषां नीडानि प्रति उड्डयन्ते।
"Water was dripping from the trees, and the land was wet.","जलबिन्दवः वृक्षेभ्यः पतन्ति स्म, भूमिः च आर्द्रा आसीत्।"
Snow crunched under her feet and quickly soaked her gear.,
It was at the beginning of winter.,तत् शैत्यस्य आरम्भः आसीत्।
"Nature was at her peak, blending the wild blooms with various shades of green.",वैविध्यपूर्णैः हरितवर्णैः सह विविधवर्णीयानां वनपुष्पाणां मिश्रणं कुर्वती प्रकृतिः तस्या परमशिखरे आसीत्।
It lies in a hilly well-wooded landscape above the valley of the small river.,लघुनद्याः उपत्यकायाः उपरि निबिडवनस्य परिदृश्ये तत् स्थितम् अस्ति।
The birds saw the little girl who was walking among the trees and flew down to greet her.,खगाः वृक्षेषु परिभ्रमन्तीं बालिकां दृष्ट्वा तस्या अभिवादनं कर्तुम् अधः आगतवन्तः।
She glanced down at the bird's nest in her hand.,सा तस्याः हस्ते चटकायाः नीडं दृष्टवती।
She studied the berry-like seeds that grew in a cluster at the top of the bush.,गुल्मस्य शीर्षस्थाने यानि बदरी इव बीजानि समूहेन भवन्ति स्म तेषाम् अध्ययनं सा कृतवती।
"The yard of the super old house was completely covered with plants, rocks, and animals.","बहुपुरातनस्य प्राङ्गणं पूर्णतः वनस्पतिभिः, पाषाणैः, पशुभिः च आच्छादितम् आसीत्।"
There was not a breath of wind to stir the young leaves on the trees.,वृक्षस्य नवीनपर्णान् चालयितुं तत्र समीरः नासीत्।
"The climate is extremely hot and dry in summer, while the winter temperature is mild and pleasant.","ग्रीष्मे वातावरणम् अतीव उष्णं शुष्कं च भवति, परन्तु शैत्ये तु अतीव शान्तं सुखदं च भवति।"
"When traveling through the countryside you see many inspiring mountains, streams, valleys, and lakes.","ग्रामीणक्षेत्रेषु परिभ्रमन् भवान् प्रेरणाप्रदायकान् पर्वतान्, जलधाराः, उपत्यकाः, तडागान् च पश्यति।"
It was so close to the sea that those who lived in it could hear the waves forever beating against the shore.,तत् समुद्रात् एतावत् समीपम् आसीत् यत् तत्र निवसन्तः जनाः तरङ्गानां तटप्रहारध्वनिं शृण्वन्ति स्म।
The island is very picturesque with rolling green hills surrounded by glorious coastal scenery.,"हरितशैलैः सुशोभितः, दीप्यमानैः तटीयदृश्यैः आकीर्णः एषः द्वीपः रमणीयः अस्ति।"
The ocean breeze brought that familiar scent back.,समुद्रसमीरः तं सुपरिचितं सुगन्धं प्रत्यानीतवान्।
The warm sun shined on the tall powerful trees and drew out all their fragrance.,उष्णः सूर्यः उन्नतेषु शक्तिमत्सु वृक्षेषु प्रकाश्य तेषां गन्धम् अपाकृतवान्।
It was very pleasant out in the shady woods.,छायाघने वने भ्रमणम् आनन्ददायकम् अस्ति।
They were sitting around the fire and trying to keep each other warm.,ते अग्निं परितः उपविश्य परस्परम् उष्णीकर्तुं प्रयतमानाः आसन्।
She opened her eyes and blinked at the sunlight streaming through the forest.,सा तस्याः नेत्रे उद्घाट्य वनात् आगच्छन्तं सूर्यप्रकाशं दृष्टवती।
An old man decides it's time to get a new rock for his collection.,एकः वृद्धः निश्चितवान् यत् एषः समयः नवीनं पाषाणं तस्य सङ्ग्रहे स्थापनाय अस्ति इति।
"One day in spring, three men were riding together along a country road.",त्रयः जनाः ग्रामीणमार्गेण एकस्मिन् वसन्तदिवसे सहैव यानयात्रां कुर्वन्ति स्म।
She walked for half an hour until the rain began to trickle through the tree tops.,यावत् वर्षा आरभ्य वृक्षेभ्यः अपि जलबिन्दवः न पतन्ति तावत् सा अर्धहोरापर्यन्तं चलितवती।
The soothing sound of water running over stones greeted them as they neared the creek.,यदा ते जलधारां निकषा प्राप्तवन्तः तदा पाषाणेषु प्रवहतः जलस्य ध्वनिः तेषां स्वागतम् अकरोत्।
The old creaking tree spread a blanket of shade in the grass beside the pond.,तडागं निकषा एकः पुरातनः महावृक्षः छायायाः संस्तरणं तृणेषु प्रच्छादितवान्।
I love the beautiful spring because the budding trees and the blossoming flowers are so abundant.,"मह्यं सुन्दरः वसन्तः अतीव रोचते यतः नवपल्लवयुक्ताः वृक्षाः, विकसन्ति पुष्पाणि च प्राचुर्येण भवन्ति।"
"Whenever my aunt comes to visit, she brings some good gifts for my family.","यदा यदा पितृस्वसा मेलितुम् आगच्छति, तदा तदा सा मम परिवाराय उपायनानि आनयति।"
He took his children far away to a green valley.,सः तस्य पुत्रान् बहुदूरस्थां हरिताम् उपत्यकां प्रति नीतवान्।
I am pleased because I love the warm sunshine and the fragrant flowers.,अहम् आनन्दितः यतः मह्यं कोष्णः सूर्यप्रकाशः सुगन्धितानि पुष्पाणि च रोचन्ते।
"After a while, they were riding around the side of a steep hill through tall grass.",किञ्चित् कालात् अनन्तरं ते शैलं निकषा विद्यमाने तृणक्षेत्रे यानभ्रमणं कुर्वन्तः आसन्।
Old meadows provide a home for many colorful plants.,पुरातनानि तृणक्षेत्राणि विविधवर्णीयेभ्यः वनस्पतिभ्यः आश्रयं यच्छन्ति।
The warm sun had melted most of the snow from the path.,कोष्णः सूर्यप्रकाशः मार्गे विद्यमानम् अधिकांशं हिमं विद्रावितवान्।
She glanced back over her shoulder at the huge rock on the hill.,सा स्कन्धात् पृष्ठतः शैले विद्यमानं महान्तं पाषाणं दृष्टवती।
The sun peeked over the desert horizon to the east.,
Ahead was nothing but a narrow dirt path lined with mature trees and bushes.,अग्रे अन्यत् किमपि न परन्तु एकः पुरातनवृक्षैः गुल्मैः च पूरितः मार्गः आसीत्।
We shall all live together in a small place near one of the lakes beyond the forest.,वनस्य पार्श्वे विद्यमानस्य सरोवरस्य समीपे लघुस्थाने वयं सर्वे निवासं करिष्यामः।
I took a scenic ride through the ever infinite land.,अनन्तभूमौ अहम् एकं सुन्दरं यानभ्रमणं कृतवान्।
He imagined the way the ocean breeze zipped straight into their tent.,सः चिन्तनं कृतवान् यत् समुद्रसमीरः साक्षात् तेषां पटोटजे प्राविशत्।
"In the evening, we would walk in the yard and catch the grasshoppers and butterflies.",सायङ्काले वयं प्राङ्गणे चलित्वा शलभान् चित्रपतङ्गान् च गृह्णीम।
The sun set too early on that autumn day.,तस्मिन् शरत्काले सूर्यः शीघ्रमेव अस्तङ्गच्छति।
The valleys within the hill ranges are fragrant with aromatic shrubs.,अस्मिन् शैलशृङ्खलायाम् उपत्यकाः सुगन्धिवृक्षैः पूरिताः मनोरमाः च सन्ति।
He skipped a stone across the pond.,सः एकं पाषाणं तडागात् परे त्यक्तवान्।
"She glanced up at her friend, who was sitting against a tree watching her.",वृक्षं निकषा उपविश्य तां पश्यत् एकं मित्रं सा दृष्टवती।
Have you ever seen a rainbow?,किं भवान् एतावत् पर्यन्तं इन्द्रधनुः दृष्टवान्?
"Yesterday, I had a chance to view a rainbow.",ह्यः मम कृते इन्द्रधनुः द्रष्टुम् एकः अवसरः आसीत्।
The rainbow was far and high but neither thick nor full.,"इन्द्रधनुः बहुदूरम् आसीत्, तथैव न बहुघनम् आसीत् न च पूर्णम् आसीत्।"
I will be lucky to see a rainbow again.,पुनः इन्द्रधनुषः दर्शनं मम सौभाग्यं भवेत्।
This evening we might see a beautiful double rainbow.,कदाचित् सायङ्काले वयं द्विगुणितं इन्द्रधनुः पश्येम।
I heard the animals chewing grass.,अहं पशून् तृणचर्वणं कुर्वन्तः अपश्यत्।
I looked at the many birds along the path.,अहं मार्गे बहून् खगान् अपश्यत्।
"The birds made short, high pitched sounds.",खगाः लघुः एव परन्तु तारस्वरेण ध्वनिं कृतवन्तः।
I was very tired after the long day deep in the forest.,निबिडे वने आदिनं स्थित्वा अहम् अतीव श्रान्तः।
We did not have enough energy to play games.,क्रीडां कर्तुम् अस्मासु पर्याप्ता ऊर्जा नासीत्।
"Still, we were asked to see how far we could throw these rocks.",वयं कीयत् दूरं पाषाणं क्षेप्तुं शक्नुमः इति द्रष्टुं वयम् अद्यापि आदिष्टाः आसम्।
"He loudly counted one, two, three to start the game.","क्रीडायाः आरम्भं कर्तुं सः उच्चैः अगणयत् - एकम्, द्वे, त्रीणि।"
We could dig some soil and build a mountain.,वयं किञ्चित् मृत्तिकां खनित्वा पर्वतनिर्माणं कर्तुम् अशक्नुवम्।
We even jumped out because it was not very high.,तथापि वयं कूर्दितवन्तः यतः तत् बहु उन्नतं नासीत्।
I just felt that we must again go to this forest for another fun time.,अहम् अचिन्तयम् यत् अस्माभिः मनोविनोदाय पुनः एतत् वनं गन्तव्यम्।
It was too late when we came back home.,यदा वयं गृहम् आगतवन्तः तदा बहुविलम्बः जातः आसीत्।
"Later in the calm of the night, when you get a chance.",अनन्तरं यदा शान्तरात्रौ भवान् अवसरं प्राप्नोति।
I also saw the moon in the sky.,अहमपि रात्रौ चन्द्रं दृष्टवान्।
"The stars looked very small, yet they did flicker.","तारिकाः अतीव मन्दं दृश्यन्ते स्म, तथापि संस्फुरन्ते स्म।"
It's pretty hard to see stars on a cloudy day.,साभ्रे दिवसे तारिकादर्शनम् अतीव कठिनम्।
Where did the stars and the moon go?,तारिकाः च चन्द्रः च कुत्र गतवन्तः?
I went to sleep late at night.,अहं विलम्बेन रात्रौ शयितुं गतवान्।
What a pretty rabbit it is!,कीयान् सुन्दरः शशकः एषः!
She hopped out of her burrow.,सा तस्याः बिलात् बहिः आगतवती।
Her eyes look all around eagerly.,तस्याः नेत्रे सोत्साहं परितम् अपश्यताम्।
She perches on her toes and keeps her ears sharp and steady.,सा तस्याः चरणाङ्गुलीषु उपविश्य तस्याः कर्णद्वयं सावधानस्थिरं करोति।
