sentence,hanzi,pinyin
Think of any number from one to ten.,想想从一到十的任何数字。,xiǎng xiǎng cóng yī dào shí de rèn hé shù zì 。
It's time to go home.,该回家了。,gāi huí jiā le 。
Imagine the purple leaves.,想象一下紫色的叶子。,xiǎng xiàng yī xià zǐ sè de yè zǐ 。
Get some ice cubes for the juice.,拿些冰块来做果汁。,ná xiē bīng kuài lái zuò guǒ zhī 。
"Get me two stones: one brown, the other white.",给我拿两块石头，一块棕色的，另一块白色的。,gěi wǒ ná liǎng kuài shí tóu ， yī kuài zōng sè de ， lìng yī kuài bái sè de 。
I will be swimming with the fish.,我将和鱼一起游泳。,wǒ jiāng hé yú yī qǐ you yǒng 。
Watch closely!,密切关注!,mì qiē guān zhù !
Let's go find some fruit.,我们去找些水果吧。,wǒ mén qù zhǎo xiē shuǐ guǒ ba 。
Can we climb that tree?,我们能爬上那棵树吗?,wǒ mén néng pá shàng nà kē shù ma ?
Yesterday was fun because we found that big rock.,昨天很有趣，因为我们发现了那块大石头。,zuó tiān hěn yǒu qù ， yīn wéi wǒ mén fā xiàn le nà kuài dà shí tóu 。
Let us finish this before the sun sets.,让我们在太阳落山前完成这件事。,ràng wǒ mén zài tài yáng luò shān qián wán chéng zhè jiàn shì 。
I love having fruit in the afternoon.,我喜欢在下午吃水果。,wǒ xǐ huān zài xià wǔ chī shuǐ guǒ 。
When can you come out to play?,你什么时候可以出来玩?,nǐ shén me shí hòu kě yǐ chū lái wán ?
I am always at home at weekends.,周末我总是在家。,zhōu mò wǒ zǒng shì zài jiā 。
You can be the best at anything you can imagine.,你可以在任何你能想到的事情上做到最好。,nǐ kě yǐ zài rèn hé nǐ néng xiǎng dào de shì qíng shàng zuò dào zuì hǎo 。
It gets dark when the lights turn off.,灯一关天就黑了。,dēng yī guān tiān jiù hēi le 。
Our dad gives us fruit every day.,我们的爸爸每天给我们水果。,wǒ mén de bà bà měi tiān gěi wǒ mén shuǐ guǒ 。
Animals sleep all the time.,动物一直都在睡觉。,dòng wù yī zhí dōu zài shuì jiào 。
We all love playing games.,我们都喜欢玩游戏。,wǒ mén dōu xǐ huān wán you xì 。
We crossed the river with our bare feet.,我们光着脚过河。,wǒ mén guāng zhe jiǎo guò hé 。
Place the fruit peel into the pile.,将果皮放成一堆。,jiāng guǒ pí fàng chéng yī duī 。
My feet got wet from the rain.,我的脚被雨淋湿了。,wǒ de jiǎo bèi yǔ lín shī le 。
I found two branches had fallen from the tree.,我发现有两根树枝从树上掉了下来。,wǒ fā xiàn yǒu liǎng gēn shù zhī cóng shù shàng diào le xià lái 。
The wolf howled all night.,狼嚎叫了一整夜。,láng háo jiào le yī zhěng yè 。
Let's give them another chance.,我们再给他们一次机会吧。,wǒ mén zài gěi tā mén yī cì jī huì ba 。
Keep sight of where you are going.,注意你要去的地方。,zhù yì nǐ yào qù de dì fāng 。
"I don't take sugar in my tea, thanks.",我的茶里不加糖，谢谢。,wǒ de chá lǐ bù jiā táng ， xiè xiè 。
Feel free to visit me anytime.,随时欢迎来访。,suí shí huān yíng lái fǎng 。
Her voice sounded so happy.,她的声音听起来很幸福。,tā de shēng yīn tīng qǐ lái hěn xìng fú 。
We are going to clean everything up.,我们要把一切都清理干净。,wǒ mén yào bǎ yī qiē dōu qīng lǐ gàn jìng 。
Let's meet at our tree house when the sun rises.,太阳升起的时候我们在树屋里见吧。,tài yáng shēng qǐ de shí hòu wǒ mén zài shù wū lǐ jiàn ba 。
Can you make tea for us?,你能为我们泡茶吗?,nǐ néng wéi wǒ mén pào chá ma ?
I must follow my dream where ever it takes me.,我必须追随我的梦想，无论代价如何。,wǒ bì xū zhuī suí wǒ de mèng xiǎng ， wú lùn dài jià rú hé 。
We thanked our teacher for all her hard work.,我们感谢老师的辛勤工作。,wǒ mén gǎn xiè lǎo shī de xīn qín gōng zuò 。
Let's get started right away.,让我们马上开始吧。,ràng wǒ mén mǎ shàng kāi shǐ ba 。
Let everyone have what they want.,让每个人都得到他们想要的。,ràng měi gè rén dōu dé dào tā mén xiǎng yào de 。
The leaves are scattered all over the forest floor.,树叶散落在森林的地面上。,shù yè sàn luò zài sēn lín de dì miàn shàng 。
The fruits are all small and green.,这些水果又小又绿。,zhè xiē shuǐ guǒ yòu xiǎo yòu lǜ 。
Would you please pour me a glass of the juice you made.,请你给我倒一杯你做的果汁好吗?,qǐng nǐ gěi wǒ dǎo yī bēi nǐ zuò de guǒ zhī hǎo ma ?
The rabbits are enjoying their meal.,兔子们正在享用它们的食物。,tù zǐ mén zhèng zài xiǎng yòng tā mén de shí wù 。
Keep the windows slightly open.,让窗户稍微开着。,ràng chuāng hù shāo wēi kāi zhe 。
Who let the animals out?,谁把动物放出来的?,shuí bǎ dòng wù fàng chū lái de ?
Try to remember what happened.,试着回忆一下发生了什么。,shì zhe huí yì yī xià fā shēng le shén me 。
I came here for you.,我是来找你的。,wǒ shì lái zhǎo nǐ de 。
We both took a piece of fruit.,我们都拿了一块水果。,wǒ mén dōu ná le yī kuài shuǐ guǒ 。
We all sat watching the sun rise.,我们都坐着看日出。,wǒ mén dōu zuò zhe kàn rì chū 。
She is a very polite young girl.,她是一个很有礼貌的年轻女孩。,tā shì yī gè hěn yǒu lǐ mào de nián qīng nǚ hái 。
Bring everything to me.,把所有的东西都带给我。,bǎ suǒ yǒu de dōng xī dōu dài gěi wǒ 。
The birds chirped as they were fed.,鸟儿吃东西时叽叽喳喳地叫。,niǎo ér chī dōng xī shí jī jī zhā zhā de jiào 。
I have a variety of different collections.,我有各种不同的收藏。,wǒ yǒu gè zhǒng bù tóng de shōu cáng 。
Take care of your siblings.,照顾好你的兄弟姐妹。,zhào gù hǎo nǐ de xiōng dì jiě mèi 。
We counted twelve branches in total.,我们总共数了十二根树枝。,wǒ mén zǒng gòng shù le shí èr gēn shù zhī 。
Winter is coming.,冬天即将来临。,dōng tiān jí jiāng lái lín 。
They love the snow so much.,他们非常喜欢雪。,tā mén fēi cháng xǐ huān xuě 。
I brought some rocks with me.,我带来了一些石头。,wǒ dài lái le yī xiē shí tóu 。
Every life is sacred.,每个生命都是神圣的。,měi gè shēng mìng dōu shì shén shèng de 。
I can't run that fast.,我跑不了那么快。,wǒ pǎo bù le nà me kuài 。
The sun is shining quite brightly today.,今天阳光明媚。,jīn tiān yáng guāng míng mèi 。
These berries are very fresh.,这些浆果很新鲜。,zhè xiē jiāng guǒ hěn xīn xiān 。
The sky is clear today.,今天天空晴朗。,jīn tiān tiān kōng qíng lǎng 。
There are many species of plants in the forest.,森林里有许多种植物。,sēn lín lǐ yǒu xǔ duō zhǒng zhí wù 。
You can see dew on leaves early in the morning.,清晨，你可以在树叶上看到露珠。,qīng chén ， nǐ kě yǐ zài shù yè shàng kàn dào lù zhū 。
The land is filled with flowers.,地上开满了花。,dì shàng kāi mǎn le huā 。
"Look, there is a deer in the woods.",看，树林里有一只鹿。,kàn ， shù lín lǐ yǒu yī zhī lù 。
What kind of bird is this?,这是什么鸟?,zhè shì shén me niǎo ?
"The mountain is very steep, so be careful while climbing it.",这座山很陡，所以攀登时要小心。,zhè zuò shān hěn dǒu ， suǒ yǐ pān dēng shí yào xiǎo xīn 。
Let's drink fresh water from the lake.,让我们喝湖里的淡水。,ràng wǒ mén hē hú lǐ de dàn shuǐ 。
The pond is filled with fish of all kinds.,池塘里满是各种各样的鱼。,chí táng lǐ mǎn shì gè zhǒng gè yàng de yú 。
Flowers are in full bloom at this time of the year.,每年这个时候鲜花盛开。,měi nián zhè gè shí hòu xiān huā shèng kāi 。
The weather gets beautiful in spring.,春天天气变好了。,chūn tiān tiān qì biàn hǎo le 。
"Full moon occurs roughly once a month, except on a blue moon.",满月大约每个月出现一次，除了蓝月亮。,mǎn yuè dà yuē měi gè yuè chū xiàn yī cì ， chú le lán yuè liàng 。
The sky is filled with stars tonight.,今晚的天空布满了星星。,jīn wǎn de tiān kōng bù mǎn le xīng xīng 。
I think I love all of the flowers around here.,我喜欢这里所有的花。,wǒ xǐ huān zhè lǐ suǒ yǒu de huā 。
I like to eat.,我喜欢吃。,wǒ xǐ huān chī 。
It's a beautiful view from the top of this mountain.,从这座山顶可以看到美丽的景色。,cóng zhè zuò shān dǐng kě yǐ kàn dào měi lì de jǐng sè 。
"You should sing more often, you have such a beautiful voice.",你应该多唱歌，你有这么好的嗓子。,nǐ yìng gāi duō chàng gē ， nǐ yǒu zhè me hǎo de sǎng zǐ 。
We should dance together to this song.,我们应该随着这首歌一起跳舞。,wǒ mén yìng gāi suí zhe zhè shǒu gē yī qǐ tiào wǔ 。
The flower was usually found in the back of the forest.,这种花通常是在森林深处发现的。,zhè zhǒng huā tōng cháng shì zài sēn lín shēn chù fā xiàn de 。
The wind blew the leaves lying on the ground.,风把地上的树叶吹走了。,fēng bǎ dì shàng de shù yè chuī zǒu le 。
What are you bringing to eat on this adventure?,这次冒险你要带什么吃的?,zhè cì mào xiǎn nǐ yào dài shén me chī de ?
The bird drank water from the lake.,这只鸟喝了湖里的水。,zhè zhī niǎo hē le hú lǐ de shuǐ 。
Is it possible to swim with fishes in the sea?,在海里能和鱼一起游泳吗?,zài hǎi lǐ néng hé yú yī qǐ you yǒng ma ?
Stars sparkle at night.,星星在夜晚闪烁。,xīng xīng zài yè wǎn shǎn shuò 。
She has deep blue eyes.,她有一双深蓝色的眼睛。,tā yǒu yī shuāng shēn lán sè de yǎn jīng 。
Heavy mist covered the magical place from being seen.,浓雾笼罩着这个神奇的地方，使人看不见。,nóng wù lóng zhào zhe zhè gè shén qí de dì fāng ， shǐ rén kàn bù jiàn 。
It will rain today.,今天会下雨。,jīn tiān huì xià yǔ 。
Wild animals live out here.,野生动物生活在这里。,yě shēng dòng wù shēng huó zài zhè lǐ 。
Summer days are long and hot.,夏天漫长而炎热。,xià tiān màn cháng ér yán rè 。
The bee uses its beautiful wings to fly.,蜜蜂用它美丽的翅膀飞翔。,mì fēng yòng tā měi lì de chì páng fēi xiáng 。
Light from the star twinkles at night.,星星的光在夜晚闪烁。,xīng xīng de guāng zài yè wǎn shǎn shuò 。
The sky is covered with heavy clouds today.,今天天空布满了乌云。,jīn tiān tiān kōng bù mǎn le wū yún 。
The bear living in the forest likes to eat everything.,生活在森林里的熊喜欢吃所有的东西。,shēng huó zài sēn lín lǐ de xióng xǐ huān chī suǒ yǒu de dōng xī 。
The rock is extremely heavy.,岩石非常重。,yán shí fēi cháng zhòng 。
Waves can be seen from the beach.,从海滩上可以看到海浪。,cóng hǎi tān shàng kě yǐ kàn dào hǎi làng 。
Do you like reading the tree rings?,你喜欢看年轮吗?,nǐ xǐ huān kàn nián lún ma ?
The duck swims in the pond.,鸭子在池塘里游泳。,yā zǐ zài chí táng lǐ you yǒng 。
He plays the flute very well.,他的笛子吹得很好。,tā de dí zǐ chuī dé hěn hǎo 。
She lives in a big beautiful house.,她住在一所漂亮的大房子里。,tā zhù zài yī suǒ piāo liàng de dà fáng zǐ lǐ 。
Red berries are the ripe ones.,红色的浆果是成熟的。,hóng sè de jiāng guǒ shì chéng shú de 。
The green grass covered the lawn.,绿草覆盖着草坪。,lǜ cǎo fù gài zhe cǎo píng 。
The sky is clear and blue in summer.,夏天的天空晴朗而蔚蓝。,xià tiān de tiān kōng qíng lǎng ér wèi lán 。
These berries are freshly picked from the tree.,这些浆果是刚从树上摘下来的。,zhè xiē jiāng guǒ shì gāng cóng shù shàng zhāi xià lái de 。
The forest floor hides many little animals.,森林的地面上藏着许多小动物。,sēn lín de dì miàn shàng cáng zhe xǔ duō xiǎo dòng wù 。
Birds have the ability to fly.,鸟有飞翔的能力。,niǎo yǒu fēi xiáng de néng lì 。
This mountain will lead you to view number two.,这座山会带你去二号景点。,zhè zuò shān huì dài nǐ qù èr hào jǐng diǎn 。
Wolves have a strong sense of smell.,狼有很强的嗅觉。,láng yǒu hěn qiáng de xiù jiào 。
All the trees are covered in snow in winter.,冬天所有的树都被雪覆盖着。,dōng tiān suǒ yǒu de shù dōu bèi xuě fù gài zhe 。
How many members are there in your family?,你家有几口人?,nǐ jiā yǒu jǐ kǒu rén ?
Children like to build stuff when they are on the beach.,孩子们在海滩上时喜欢建东西。,hái zǐ mén zài hǎi tān shàng shí xǐ huān jiàn dōng xī 。
He stayed in the cool and dark cave to avoid getting wet in the rain.,他呆在又冷又黑的洞里，以免被雨淋湿。,tā dāi zài yòu lěng yòu hēi de dòng lǐ ， yǐ miǎn bèi yǔ lín shī 。
"Let's play hide and seek, it will be fun.",让我们玩捉迷藏吧，会很有趣的。,ràng wǒ mén wán zhuō mí cáng ba ， huì hěn yǒu qù de 。
What are you making tonight?,你今晚要做什么?,nǐ jīn wǎn yào zuò shén me ?
I love my family.,我爱我的家庭。,wǒ ài wǒ de jiā tíng 。
The food from the forest was delicious.,森林里的食物很好吃。,sēn lín lǐ de shí wù hěn hǎo chī 。
How often does a bird flap its wings?,一只鸟多久扇动一次翅膀?,yī zhī niǎo duō jiǔ shàn dòng yī cì chì páng ?
It is very important to stay warm in winter.,冬天保暖是很重要的。,dōng tiān bǎo nuǎn shì hěn zhòng yào de 。
My best friend gave me a piece of fresh fruit.,我最好的朋友给了我一块新鲜的水果。,wǒ zuì hǎo de péng yǒu gěi le wǒ yī kuài xīn xiān de shuǐ guǒ 。
Flowers blossom on the tree every spring.,每年春天树上都会开花。,měi nián chūn tiān shù shàng dōu huì kāi huā 。
I often dream about magical creatures at night.,我经常在晚上梦见神奇的生物。,wǒ jīng cháng zài wǎn shàng mèng jiàn shén qí de shēng wù 。
The land was filled with short bushes.,地上长满了矮灌木。,dì shàng zhǎng mǎn le ǎi guàn mù 。
Sweet juice is a very refreshing treat on a hot day.,在热天喝甜果汁是一种提神的饮料。,zài rè tiān hē tián guǒ zhī shì yī zhǒng tí shén de yǐn liào 。
The gold glimmered in the dark.,金子在黑暗中闪闪发光。,jīn zǐ zài hēi àn zhōng shǎn shǎn fā guāng 。
Water bubbles when it boils.,水沸腾时会起泡。,shuǐ fèi téng shí huì qǐ pào 。
People of this town are very nice and helpful.,这个镇上的人都很友好，乐于助人。,zhè gè zhèn shàng de rén dōu hěn yǒu hǎo ， lè yú zhù rén 。
Animals have a very special place in my heart.,动物在我心中有非常特殊的位置。,dòng wù zài wǒ xīn zhōng yǒu fēi cháng tè shū de wèi zhì 。
Fully ripened berries are sweet and delicious.,成熟的浆果香甜可口。,chéng shú de jiāng guǒ xiāng tián kě kǒu 。
The bird has a nest on the branch of this tree.,这只鸟在这棵树的树枝上有一个巢。,zhè zhī niǎo zài zhè kē shù de shù zhī shàng yǒu yī gè cháo 。
This short path will get you to the hill in no time.,这条小路很快就能把你送到山上。,zhè tiáo xiǎo lù hěn kuài jiù néng bǎ nǐ sòng dào shān shàng 。
Are you free this afternoon?,你今天下午有空吗?,nǐ jīn tiān xià wǔ yǒu kōng ma ?
Insects often live in humid climates.,昆虫通常生活在潮湿的气候条件下。,kūn chóng tōng cháng shēng huó zài cháo shī de qì hòu tiáo jiàn xià 。
You should come the tall tree and meet me sometimes.,有时候你应该到那棵高高的树上来见我。,yǒu shí hòu nǐ yìng gāi dào nà kē gāo gāo de shù shàng lái jiàn wǒ 。
This is a very special plant.,这是一种非常特殊的植物。,zhè shì yī zhǒng fēi cháng tè shū de zhí wù 。
The flowers dance in the shiny weather.,花儿在阳光明媚的天气里翩翩起舞。,huā ér zài yáng guāng míng mèi de tiān qì lǐ piān piān qǐ wǔ 。
Sky in is a seemingly never-ending vastness.,天空似乎是无边无际的。,tiān kōng sì hū shì wú biān wú jì de 。
The ever so bright sun is glimmering in the open blue sea.,永远明亮的太阳在蔚蓝的大海上闪烁。,yǒng yuǎn míng liàng de tài yáng zài wèi lán de dà hǎi shàng shǎn shuò 。
The sun is starting to set.,太阳开始落山了。,tài yáng kāi shǐ luò shān le 。
As the day is at its brink and the night is about to break.,白昼即将来临，黑夜即将来临。,bái zhòu jí jiāng lái lín ， hēi yè jí jiāng lái lín 。
The leaves of the tree.,树上的叶子。,shù shàng de yè zǐ 。
The bright sunshine warms the rabbit as it begins to sleep.,明亮的阳光温暖了兔子，它开始睡觉了。,míng liàng de yáng guāng wēn nuǎn le tù zǐ ， tā kāi shǐ shuì jiào le 。
The river clashes with the rocks fiercefully.,河水与岩石猛烈地碰撞。,hé shuǐ yǔ yán shí měng liè de pèng zhuàng 。
The cool breeze makes the bird dance in the wind.,凉风吹得鸟儿在风中翩翩起舞。,liáng fēng chuī dé niǎo ér zài fēng zhōng piān piān qǐ wǔ 。
The raindrops look like silver gems scattering across the land.,雨点像银色的宝石散落在大地上。,yǔ diǎn xiàng yín sè de bǎo shí sàn luò zài dà dì shàng 。
The wolf wags his tail as he gets patted.,狼被拍时就摇尾巴。,láng bèi pāi shí jiù yáo wěi bā 。
The land is filled with cool looking flowers.,地上到处都是看起来很酷的花。,dì shàng dào chù dōu shì kàn qǐ lái hěn kù de huā 。
The squirrels relax as the warm sunlight approaches.,温暖的阳光即将来临，松鼠们放松下来。,wēn nuǎn de yáng guāng jí jiāng lái lín ， sōng shǔ mén fàng sōng xià lái 。
It is a field of aromatic flowers.,这是一片鲜花盛开的田野。,zhè shì yī piàn xiān huā shèng kāi de tián yě 。
The fish playfully travel the tides of the ocean.,这些鱼在海洋的潮汐中嬉戏。,zhè xiē yú zài hǎi yáng de cháo xī zhōng xī xì 。
The deer grazes as the sun dawns.,日出时鹿在吃草。,rì chū shí lù zài chī cǎo 。
The dry autumn leaves crunch as I walk through.,我走过时，枯干的秋叶嘎吱作响。,wǒ zǒu guò shí ， kū gàn de qiū yè gǎ zhī zuò xiǎng 。
The wolf relaxes as the day dusks.,狼在黄昏时休息。,láng zài huáng hūn shí xiū xī 。
The herd of elk sleeps as the day ends in the tranquil countryside.,在宁静的乡间，一群麋鹿睡着了。,zài níng jìng de xiāng jiān ， yī qún mí lù shuì zhe le 。
He is as calm as the fields of the countryside.,他像乡下的田野一样平静。,tā xiàng xiāng xià de tián yě yī yàng píng jìng 。
The bees buzz in the scorching summer heat.,蜜蜂在炎炎夏日嗡嗡作响。,mì fēng zài yán yán xià rì wēng wēng zuò xiǎng 。
The juicy berries grow in the bushes.,多汁的浆果生长在灌木丛中。,duō zhī de jiāng guǒ shēng zhǎng zài guàn mù cóng zhōng 。
The bird flaps her wings as the sudden breeze touches her.,鸟儿在微风轻拂时拍打翅膀。,niǎo ér zài wēi fēng qīng fú shí pāi dǎ chì páng 。
The birds take shed in the trees as the hot sunlight approaches them.,当炽热的阳光接近鸟儿时，它们就在树上筑巢。,dāng chì rè de yáng guāng jiē jìn niǎo ér shí ， tā mén jiù zài shù shàng zhù cháo 。
The bird moves rhythmically as the drops of rain pats her.,雨点拍打着小鸟，小鸟有节奏地移动着。,yǔ diǎn pāi dǎ zhe xiǎo niǎo ， xiǎo niǎo yǒu jié zòu de yí dòng zhe 。
The school of fish swims around as the tides rise.,这群鱼在涨潮时四处游动。,zhè qún yú zài zhǎng cháo shí sì chù you dòng 。
The ducks dance in the sweet spring.,鸭子在甜美的春天里跳舞。,yā zǐ zài tián měi de chūn tiān lǐ tiào wǔ 。
The rainbow reveals itself as the rain stops.,雨一停彩虹就露出来了。,yǔ yī tíng cǎi hóng jiù lù chū lái le 。
The owl stares at the moon in the lonely night sky.,猫头鹰在寂寞的夜空中凝视着月亮。,māo tóu yīng zài jì mò de yè kōng zhōng níng shì zhe yuè liàng 。
The rocks act as a pillow to the lazy grizzly bears.,对于懒惰的灰熊来说，岩石就像枕头一样。,duì yú lǎn duò de huī xióng lái shuō ， yán shí jiù xiàng zhěn tóu yī yàng 。
The wind takes away the seeds from the trees.,风把种子从树上吹走了。,fēng bǎ zhǒng zǐ cóng shù shàng chuī zǒu le 。
The rabbit eats the food peacefully.,兔子安静地吃着食物。,tù zǐ ān jìng de chī zhe shí wù 。
Snow chills the animals as winter approaches.,随着冬天的临近，雪使动物们感到寒冷。,suí zhe dōng tiān de lín jìn ， xuě shǐ dòng wù mén gǎn dào hán lěng 。
Reptiles crawl in the wet forest floor.,爬行动物在潮湿的森林地面上爬行。,pá háng dòng wù zài cháo shī de sēn lín dì miàn shàng pá háng 。
The bird weaves its nest as the spring approaches.,春天来临时，鸟就筑巢。,chūn tiān lái lín shí ， niǎo jiù zhù cháo 。
The wolves howl in the moonlight.,狼在月光下嚎叫。,láng zài yuè guāng xià háo jiào 。
The eagle rises above the clouds as it rains.,鹰在下雨时在云上翱翔。,yīng zài xià yǔ shí zài yún shàng áo xiáng 。
Are you able to come aboard at this momént?,你现在能上船吗?,nǐ xiàn zài néng shàng chuán ma ?
We made plans about how to best see the stars.,我们制定了如何最好地看星星的计划。,wǒ mén zhì dìng le rú hé zuì hǎo de kàn xīng xīng de jì huá 。
He didn't know I was watching from above.,他不知道我在天上看着他。,tā bù zhī dào wǒ zài tiān shàng kàn zhe tā 。
How can you get across this river so quickly?,你怎么能这么快就渡过这条河?,nǐ zěn me néng zhè me kuài jiù dù guò zhè tiáo hé ?
I couldn't see after the dirt got in my eyes.,泥土进入我的眼睛后，我看不见了。,ní tǔ jìn rù wǒ de yǎn jīng hòu ， wǒ kàn bù jiàn le 。
She pushed against the tree with all her strength.,她用尽全身力气推着那棵树。,tā yòng jìn quán shēn lì qì tuī zhe nà kē shù 。
Would you have brought me along otherwise?,不然你会带我一起来吗?,bù rán nǐ huì dài wǒ yī qǐ lái ma ?
Will you be among those in the forest?,你会在森林里吗?,nǐ huì zài sēn lín lǐ ma ?
I don't want to be around when she arrives.,我不想在她来的时候出现。,wǒ bù xiǎng zài tā lái de shí hòu chū xiàn 。
He doesn't move as quickly as she does.,他的动作没有她快。,tā de dòng zuò méi yǒu tā kuài 。
We could have traveled at a slower pace.,我们可以以更慢的速度前进。,wǒ mén kě yǐ yǐ gèng màn de sù dù qián jìn 。
What you see before you is a huge animal.,你眼前看到的是一只巨大的动物。,nǐ yǎn qián kàn dào de shì yī zhī jù dà de dòng wù 。
Why won't you get behind her?,你为什么不支持她?,nǐ wéi shén me bù zhī chí tā ?
She wanted me to go down below.,她要我到下面去。,tā yào wǒ dào xià miàn qù 。
"Beneath the tree, an animal just woke up.",树下，一只动物刚刚醒来。,shù xià ， yī zhī dòng wù gāng gāng xǐng lái 。
She had been beside him for the entire journey.,她一路上都在他身边。,tā yī lù shàng dōu zài tā shēn biān 。
I'll decide between staying here and going home.,我将决定留在这里还是回家。,wǒ jiāng jué dìng liú zài zhè lǐ hái shì huí jiā 。
He refuses to help anyone beyond his own family.,除了自己的家人，他拒绝帮助任何人。,chú le zì jǐ de jiā rén ， tā jù jué bāng zhù rèn hé rén 。
"I would swim, but it is too early in the day.",我想去游泳，但现在太早了。,wǒ xiǎng qù you yǒng ， dàn xiàn zài tài zǎo le 。
You might be able to find her by the river.,你也许能在河边找到她。,nǐ yě xǔ néng zài hé biān zhǎo dào tā 。
"Despite the weather, I will get there on time.",不管天气如何，我都会准时到达那里。,bù guǎn tiān qì rú hé ， wǒ dōu huì zhǔn shí dào dá nà lǐ 。
"If you keep jumping up and down, she will leave.",如果你不停地跳上跳下，她会离开的。,rú guǒ nǐ bù tíng de tiào shàng tiào xià ， tā huì lí kāi de 。
It's difficult to swim at such a wild storm.,在这样的暴风雨中游泳是很困难的。,zài zhè yàng de bào fēng yǔ zhōng you yǒng shì hěn kùn nán de 。
Don't say anything except that you love him.,除了说你爱他，什么都别说。,chú le shuō nǐ ài tā ， shén me dōu bié shuō 。
She would have made food for you if you'd asked.,如果你开口，她会给你做吃的。,rú guǒ nǐ kāi kǒu ， tā huì gěi nǐ zuò chī de 。
They walked from the forest to the river.,他们从森林走到河边。,tā mén cóng sēn lín zǒu dào hé biān 。
He's worried that we've been in the forest for too long.,他担心我们在森林里待得太久了。,tā dān xīn wǒ mén zài sēn lín lǐ dài dé tài jiǔ le 。
Can you believe that a rock is inside this fruit?,你能相信在这个水果里面有一块石头吗?,nǐ néng xiāng xìn zài zhè gè shuǐ guǒ lǐ miàn yǒu yī kuài shí tóu ma ?
"If she turns him into an animal, I will save him.",如果她把他变成动物，我会救他。,rú guǒ tā bǎ tā biàn chéng dòng wù ， wǒ huì jiù tā 。
It was like the entire forest had suddenly stopped.,就好像整个森林突然静止了。,jiù hǎo xiàng zhěng gè sēn lín tū rán jìng zhǐ le 。
She had been near death several times,她有好几次濒临死亡,tā yǒu hǎo jǐ cì bīn lín sǐ wáng
He doesn't want us to be next to him again.,他不想让我们再靠近他。,tā bù xiǎng ràng wǒ mén zài kào jìn tā 。
Several friends have forgotten how to swim.,几个朋友已经忘记了如何游泳。,jǐ gè péng yǒu yǐ jīng wàng jì le rú hé you yǒng 。
I strayed off the path despite his orders.,我不顾他的命令，离开了这条小路。,wǒ bù gù tā de mìng lìng ， lí kāi le zhè tiáo xiǎo lù 。
He found us on his way home from the river.,他在从河边回家的路上找到了我们。,tā zài cóng hé biān huí jiā de lù shàng zhǎo dào le wǒ mén 。
I don't know how we got onto this topic.,我不知道我们是怎么聊到这个话题的。,wǒ bù zhī dào wǒ mén shì zěn me liáo dào zhè gè huà tí de 。
You should get out of the river before sunset.,你应该在日落之前离开河。,nǐ yìng gāi zài rì luò zhī qián lí kāi hé 。
The animals would have flown over the forest.,动物们早就飞过森林了。,dòng wù mén zǎo jiù fēi guò sēn lín le 。
"If you can't swim, you shouldn't go past this river.",如果你不会游泳，你就不应该过这条河。,rú guǒ nǐ bù huì you yǒng ， nǐ jiù bù yìng gāi guò zhè tiáo hé 。
"As per the king's orders, you must leave this village.",根据国王的命令，你必须离开这个村庄。,gēn jù guó wáng de mìng lìng ， nǐ bì xū lí kāi zhè gè cūn zhuāng 。
"Plus, we can't stay here if you are also here.",而且，如果你也在这里，我们也不能留在这里。,ér qiě ， rú guǒ nǐ yě zài zhè lǐ ， wǒ mén yě bù néng liú zài zhè lǐ 。
I will talk more regarding this matter.,关于这件事，我会多谈一些。,guān yú zhè jiàn shì ， wǒ huì duō tán yī xiē 。
Have you seen a large rock 'round here?,你在这附近看见过一块大石头吗?,nǐ zài zhè fù jìn kàn jiàn guò yī kuài dà shí tóu ma ?
She would climb it save for the fact that she is too short.,她愿意爬上去，除非她太矮了。,tā yuàn yì pá shàng qù ， chú fēi tā tài ǎi le 。
He has gotten weaker since I last saw him.,自从我上次见到他以来，他变得越来越虚弱了。,zì cóng wǒ shàng cì jiàn dào tā yǐ lái ， tā biàn dé yuè lái yuè xū ruò le 。
I would rather eat fruit than meat.,我宁愿吃水果而不愿吃肉。,wǒ níng yuàn chī shuǐ guǒ ér bù yuàn chī ròu 。
Maybe this time they will get through to her.,也许这次他们会让她明白。,yě xǔ zhè cì tā mén huì ràng tā míng bái 。
I will keep jumping till they tell me to stop.,我会一直跳下去，直到他们叫我停下来。,wǒ huì yī zhí tiào xià qù ， zhí dào tā mén jiào wǒ tíng xià lái 。
Do we want them to give this to us?,我们想让他们给我们这个吗?,wǒ mén xiǎng ràng tā mén gěi wǒ mén zhè gè ma ?
They can either move toward the sea or go home.,它们要么向大海进发，要么回家。,tā mén yào me xiàng dà hǎi jìn fā ， yào me huí jiā 。
The queen will find a rock under some leaves.,女王会在树叶下找到一块石头。,nǚ wáng huì zài shù yè xià zhǎo dào yī kuài shí tóu 。
He wished he could rest underneath the tree.,他希望他能在树下休息。,tā xī wàng tā néng zài shù xià xiū xī 。
It is unlike anything I have ever seen.,它和我所见过的任何东西都不一样。,tā hé wǒ suǒ jiàn guò de rèn hé dōng xī dōu bù yī yàng 。
She likes to swim until the sunset.,她喜欢一直游泳到日落。,tā xǐ huān yī zhí you yǒng dào rì luò 。
What goes up must come down.,有涨必有跌。,yǒu zhǎng bì yǒu diē 。
She used to love gazing upon the water.,她过去喜欢凝视水面。,tā guò qù xǐ huān níng shì shuǐ miàn 。
